,name,folder,title,warnings,mean_h,mean_s,mean_v,h1,h2,h3,h4,h5,blobs_log,blobs_dog,blobs_doh,class,time,date,dilution
0,1_negative_gota_diluição 1 para 10_5 min.bmp,dilution_1_10,dilution_1_10\1_negative_gota_diluição 1 para 10_5 min.bmp,overflow,0.4784646835382288,0.86896735454834,0.19833019728545737,0.6753571428571429,0.12353174603174603,0.0951984126984127,0.05900793650793651,0.04690476190476191,1,1,1,negative,5,NA,1:10
1,2_negative_gota_diluição 1 para 10_7 min.bmp,dilution_1_10,dilution_1_10\2_negative_gota_diluição 1 para 10_7 min.bmp,overflow,0.4594486868215696,0.8552733279916106,0.19376331660490653,0.6867063492063492,0.10948412698412699,0.09650793650793651,0.06067460317460317,0.04662698412698413,1,1,1,negative,7,NA,1:10
2,3_negative_gota_diluição 1 para 10_10 min.bmp,dilution_1_10,dilution_1_10\3_negative_gota_diluição 1 para 10_10 min.bmp,"overflow, flare",0.44632753485912335,0.8258757447583553,0.19403992727230285,0.688968253968254,0.1071031746031746,0.09063492063492064,0.059484126984126987,0.05380952380952381,1,1,1,negative,10,NA,1:10
3,4_negative_gota_diluição 1 para 10_15 min.bmp,dilution_1_10,dilution_1_10\4_negative_gota_diluição 1 para 10_15 min.bmp,overflow,0.4370232180861947,0.7595815188206937,0.17882470732829717,0.697936507936508,0.11115079365079365,0.09753968253968254,0.05615079365079365,0.03722222222222222,0,0,0,negative,15,NA,1:10
4,5_negative_gota_diluição 1 para 10_20 min.bmp,dilution_1_10,dilution_1_10\5_negative_gota_diluição 1 para 10_20 min.bmp,overflow,0.4356667050183189,0.7776789237259254,0.17525258793605464,0.7029761904761904,0.11337301587301588,0.09162698412698413,0.05492063492063492,0.0371031746031746,0,0,0,negative,20,NA,1:10
5,6_negative_gota_diluição 1 para 10_25 min.bmp,dilution_1_10,dilution_1_10\6_negative_gota_diluição 1 para 10_25 min.bmp,"overflow, flare",0.4381132192604994,0.7933048571885889,0.18431680277250911,0.6946428571428571,0.10984126984126984,0.09317460317460317,0.05876984126984127,0.04357142857142857,0,0,0,negative,25,NA,1:10
6,7_negative_gota_diluição 1 para 10_30 min.bmp,dilution_1_10,dilution_1_10\7_negative_gota_diluição 1 para 10_30 min.bmp,"overflow, flare",0.438262284335176,0.7910366206033298,0.17960979063173027,0.6960714285714286,0.11587301587301588,0.09214285714285714,0.0569047619047619,0.039007936507936505,0,0,0,negative,30,NA,1:10
7,8_positive_gota_diluição 1 para 10_1 min.bmp,dilution_1_10,dilution_1_10\8_positive_gota_diluição 1 para 10_1 min.bmp,overflow,0.8982846247687236,0.9794685654078487,0.4510041699250852,0.44742063492063494,0.15456349206349207,0.05956349206349206,0.049484126984126985,0.288968253968254,33,30,19,positive,1,NA,1:10
8,9_positive_gota_diluição 1 para 10_5 min.bmp,dilution_1_10,dilution_1_10\9_positive_gota_diluição 1 para 10_5 min.bmp,overflow,0.7046717810045297,0.9956905853099144,0.35592432667533697,0.560952380952381,0.10642857142857143,0.055357142857142855,0.06710317460317461,0.21015873015873016,10,11,5,positive,5,NA,1:10
9,10_positive_gota_diluição 1 para 10_7 min.bmp,dilution_1_10,dilution_1_10\10_positive_gota_diluição 1 para 10_7 min.bmp,overflow,0.508855396468338,0.9447783884578952,0.24716144045657298,0.6421825396825397,0.09166666666666666,0.09234126984126984,0.0842063492063492,0.0896031746031746,0,0,0,positive,7,NA,1:10
10,11_positive_gota_diluição 1 para 10_10 min.bmp,dilution_1_10,dilution_1_10\11_positive_gota_diluição 1 para 10_10 min.bmp,overflow,0.5604042637580623,0.9841327349729236,0.2976559597565534,0.6161904761904762,0.07968253968253969,0.06932539682539683,0.08246031746031746,0.15234126984126983,4,4,2,positive,10,NA,1:10
11,12_positive_gota_diluição 1 para 10_11 min.bmp,dilution_1_10,dilution_1_10\12_positive_gota_diluição 1 para 10_11 min.bmp,overflow,0.581844214035264,0.9806994736078842,0.30825230390903974,0.6080555555555556,0.08353174603174603,0.06452380952380952,0.07559523809523809,0.1682936507936508,6,6,4,positive,11,NA,1:10
12,13_positive_gota_diluição 1 para 10_15 min.bmp,dilution_1_10,dilution_1_10\13_positive_gota_diluição 1 para 10_15 min.bmp,overflow,0.6359983626917096,0.9906247901719376,0.3398582560251072,0.5837698412698412,0.0911904761904762,0.05150793650793651,0.06623015873015874,0.2073015873015873,12,11,9,positive,15,NA,1:10
13,14_positive_gota_diluição 1 para 10_20 min.bmp,dilution_1_10,dilution_1_10\14_positive_gota_diluição 1 para 10_20 min.bmp,overflow,0.6833479089971359,0.991229712225507,0.36232740865242896,0.5596031746031747,0.10107142857142858,0.050277777777777775,0.05924603174603175,0.2298015873015873,15,15,12,positive,20,NA,1:10
14,16_positive_gota_diluição 1 para 10_30 min.bmp,dilution_1_10,dilution_1_10\16_positive_gota_diluição 1 para 10_30 min.bmp,overflow,0.7092676797601926,0.9855487744640028,0.38175370895120103,0.5365873015873016,0.1075,0.0496031746031746,0.05579365079365079,0.250515873015873,16,16,15,positive,30,NA,1:10
15,1_negative_gota_diluição 1 para 25_4 min.bmp,dilution_1_25,dilution_1_25\1_negative_gota_diluição 1 para 25_4 min.bmp,overflow,0.4299765409756609,0.7809108967181718,0.13205304880298632,0.7320238095238095,0.1636904761904762,0.07880952380952382,0.02003968253968254,0.0054365079365079364,0,0,0,negative,4,NA,1:25
16,2_negative_gota_diluição 1 para 25_5 min.bmp,dilution_1_25,dilution_1_25\2_negative_gota_diluição 1 para 25_5 min.bmp,overflow,0.42235603212898004,0.7301587301587301,0.13124591822134524,0.7338492063492064,0.1569047619047619,0.0815079365079365,0.020992063492063492,0.006746031746031746,0,0,0,negative,5,NA,1:25
17,3_negative_gota_diluição 1 para 25_7 min.bmp,dilution_1_25,dilution_1_25\3_negative_gota_diluição 1 para 25_7 min.bmp,overflow,0.4161760414145,0.721267448837598,0.1349511313796286,0.7329365079365079,0.14777777777777779,0.0838095238095238,0.02746031746031746,0.008015873015873016,0,0,0,negative,7,NA,1:25
18,4_negative_gota_diluição 1 para 25_10 min.bmp,dilution_1_25,dilution_1_25\4_negative_gota_diluição 1 para 25_10 min.bmp,overflow,0.4128463494691381,0.7044832416063836,0.14194204060244514,0.7309920634920635,0.13238095238095238,0.08607142857142858,0.03484126984126984,0.015714285714285715,0,0,0,negative,10,NA,1:25
19,5_negative_gota_diluição 1 para 25_15 min.bmp,dilution_1_25,dilution_1_25\5_negative_gota_diluição 1 para 25_15 min.bmp,overflow,0.40540532380477406,0.6504751939957581,0.1345706325730845,0.7359523809523809,0.13896825396825396,0.08222222222222222,0.031746031746031744,0.011111111111111112,0,0,0,negative,15,NA,1:25
20,6_negative_gota_diluição 1 para 25_20 min.bmp,dilution_1_25,dilution_1_25\6_negative_gota_diluição 1 para 25_20 min.bmp,overflow,0.4015485049519807,0.6542823980406453,0.1329868732621013,0.738015873015873,0.13964285714285715,0.08095238095238096,0.029404761904761906,0.011984126984126984,0,0,0,negative,20,NA,1:25
21,7_positive_gota_diluição 1 para 25_4 min.bmp,dilution_1_25,dilution_1_25\7_positive_gota_diluição 1 para 25_4 min.bmp,overflow,0.918397168250916,0.9815086876186061,0.4671218269733795,0.4265079365079365,0.15968253968253968,0.06277777777777778,0.049246031746031746,0.30178571428571427,31,32,15,positive,4,NA,1:25
22,8_positive_gota_diluição 1 para 25_5 min.bmp,dilution_1_25,dilution_1_25\8_positive_gota_diluição 1 para 25_5 min.bmp,overflow,0.9125933497386464,0.9826475293372806,0.4557450639148365,0.4532936507936508,0.14277777777777778,0.06067460317460317,0.04765873015873016,0.2955952380952381,25,24,15,positive,5,NA,1:25
23,9_positive_gota_diluição 1 para 25_7 min.bmp,dilution_1_25,dilution_1_25\9_positive_gota_diluição 1 para 25_7 min.bmp,overflow,0.8828241939399465,0.9789437378295438,0.44753175621817004,0.47015873015873016,0.13396825396825396,0.05559523809523809,0.04630952380952381,0.293968253968254,35,35,19,positive,7,NA,1:25
24,10_positive_gota_diluição 1 para 25_10 min.bmp,dilution_1_25,dilution_1_25\10_positive_gota_diluição 1 para 25_10 min.bmp,overflow,0.864071873106785,0.979009359409127,0.43963820210653415,0.4594047619047619,0.14884920634920634,0.05603174603174603,0.045396825396825394,0.2903174603174603,33,33,18,positive,10,NA,1:25
25,11_positive_gota_diluição 1 para 25_15 min.bmp,dilution_1_25,dilution_1_25\11_positive_gota_diluição 1 para 25_15 min.bmp,overflow,0.7445470856838309,0.9912679934890726,0.3939068250747522,0.53,0.10956349206349206,0.04912698412698413,0.049166666666666664,0.2621428571428571,12,13,5,positive,15,NA,1:25
26,12_positive_gota_diluição 1 para 25_20 min.bmp,dilution_1_25,dilution_1_25\12_positive_gota_diluição 1 para 25_20 min.bmp,overflow,0.710509879351576,0.9931847037143373,0.37531721819173813,0.5506746031746032,0.09928571428571428,0.049444444444444444,0.05638888888888889,0.2442063492063492,7,7,3,positive,20,NA,1:25
27,1_positive_gota_diluição 1 para 50_1 min.bmp,dilution_1_50,dilution_1_50\1_positive_gota_diluição 1 para 50_1 min.bmp,"overflow, flare",0.8445599964564976,0.9044652272904331,0.4634862300749235,0.39956349206349207,0.16555555555555557,0.0732936507936508,0.05607142857142857,0.305515873015873,111,106,82,positive,1,NA,1:50
28,2_positive_gota_diluição 1 para 50_5 min.bmp,dilution_1_50,dilution_1_50\2_positive_gota_diluição 1 para 50_5 min.bmp,overflow,0.8578487811121759,0.9135894421393982,0.44285825142827356,0.4236111111111111,0.17674603174603173,0.06869047619047619,0.048134920634920635,0.2828174603174603,110,107,78,positive,5,NA,1:50
29,3_positive_gota_diluição 1 para 50_7 min.bmp,dilution_1_50,dilution_1_50\3_positive_gota_diluição 1 para 50_7 min.bmp,overflow,0.8772966358045177,0.9152696959846146,0.4487312211204928,0.41718253968253965,0.1786111111111111,0.06603174603174604,0.05123015873015873,0.28694444444444445,100,100,84,positive,7,NA,1:50
30,4_positive_gota_diluição 1 para 50_10 min.bmp,dilution_1_50,dilution_1_50\4_positive_gota_diluição 1 para 50_10 min.bmp,overflow,0.8727967346537939,0.9174078098503966,0.4433601009700101,0.43436507936507934,0.16416666666666666,0.0675,0.05257936507936508,0.2813888888888889,107,103,72,positive,10,NA,1:50
31,5_positive_gota_diluição 1 para 50_15 min.bmp,dilution_1_50,dilution_1_50\5_positive_gota_diluição 1 para 50_15 min.bmp,overflow,0.8615405767386148,0.908964500121477,0.45176801195680155,0.4234920634920635,0.1651190476190476,0.0682936507936508,0.05226190476190476,0.29083333333333333,110,107,82,positive,15,NA,1:50
32,6_positive_gota_diluição 1 para 50_20 min.bmp,dilution_1_50,dilution_1_50\6_positive_gota_diluição 1 para 50_20 min.bmp,overflow,0.8804904516604236,0.897158651924253,0.47677834063362545,0.3815079365079365,0.17492063492063492,0.07472222222222222,0.05317460317460317,0.31567460317460316,109,103,86,positive,20,NA,1:50
33,1_negative_gota_diluição 1 para 100_2 min.bmp,dilution_1_100,dilution_1_100\1_negative_gota_diluição 1 para 100_2 min.bmp,overflow,0.7192542723272276,0.9867672356247863,0.3776054936948533,0.5111111111111111,0.11857142857142858,0.07007936507936507,0.08115079365079365,0.21908730158730158,11,11,5,negative,2,NA,1:100
34,3_negative_gota_diluição 1 para 100_7 min.bmp,dilution_1_100,dilution_1_100\3_negative_gota_diluição 1 para 100_7 min.bmp,overflow,0.7188007152740208,0.9862081613729623,0.3574427755964206,0.535,0.11892857142857143,0.0694047619047619,0.08051587301587301,0.19615079365079366,19,20,8,negative,7,NA,1:100
35,4_negative_gota_diluição 1 para 100_10 min.bmp,dilution_1_100,dilution_1_100\4_negative_gota_diluição 1 para 100_10 min.bmp,overflow,0.7400563300396474,0.9842415158147962,0.37654425781056106,0.5166269841269842,0.12488095238095238,0.0682936507936508,0.07083333333333333,0.21936507936507937,16,17,10,negative,10,NA,1:100
36,5_negative_gota_diluição 1 para 100_15 min.bmp,dilution_1_100,dilution_1_100\5_negative_gota_diluição 1 para 100_15 min.bmp,overflow,0.7758070490634158,0.9712610163093864,0.4064277524260915,0.47503968253968254,0.13694444444444445,0.07452380952380952,0.06781746031746032,0.24567460317460318,31,32,17,negative,15,NA,1:100
37,6_negative_gota_diluição 1 para 100_20 min.bmp,dilution_1_100,dilution_1_100\6_negative_gota_diluição 1 para 100_20 min.bmp,overflow,0.7054544852774808,0.9694917962365025,0.37180575051935727,0.5007936507936508,0.1280952380952381,0.08492063492063492,0.07876984126984127,0.20742063492063492,23,26,18,negative,20,NA,1:100
38,7_positive_gota_diluição 1 para 100_2 min.bmp,dilution_1_100,dilution_1_100\7_positive_gota_diluição 1 para 100_2 min.bmp,overflow,0.6563548448984748,0.9881524842959183,0.30877605598061136,0.5652380952380952,0.11523809523809524,0.10444444444444445,0.09047619047619047,0.1246031746031746,12,14,7,positive,2,NA,1:100
39,8_positive_gota_diluição 1 para 100_5 min.bmp,dilution_1_100,dilution_1_100\8_positive_gota_diluição 1 para 100_5 min.bmp,overflow,0.6276223052910276,0.9852619488655581,0.30015727696594036,0.5769841269841269,0.11384920634920635,0.09944444444444445,0.08916666666666667,0.12055555555555555,11,12,4,positive,5,NA,1:100
40,9_positive_gota_diluição 1 para 100_7 min.bmp,dilution_1_100,dilution_1_100\9_positive_gota_diluição 1 para 100_7 min.bmp,overflow,0.6102176678148338,0.9664730106900954,0.2843269460356728,0.5836111111111111,0.12257936507936508,0.10146825396825397,0.08178571428571428,0.11055555555555556,11,13,6,positive,7,NA,1:100
41,10_positive_gota_diluição 1 para 100_10 min.bmp,dilution_1_100,dilution_1_100\10_positive_gota_diluição 1 para 100_10 min.bmp,overflow,0.6092042505174629,0.9623662481860026,0.2844776582068165,0.5852380952380952,0.12067460317460317,0.10301587301587302,0.0798015873015873,0.11126984126984127,12,11,4,positive,10,NA,1:100
42,11_positive_gota_diluição 1 para 100_15 min.bmp,dilution_1_100,dilution_1_100\11_positive_gota_diluição 1 para 100_15 min.bmp,overflow,0.6038008527957124,0.9300592998312488,0.2864232419807765,0.5783333333333334,0.12575396825396826,0.10083333333333333,0.07785714285714286,0.11722222222222223,12,12,4,positive,15,NA,1:100
43,12_positive_gota_diluição 1 para 100_20 min.bmp,dilution_1_100,dilution_1_100\12_positive_gota_diluição 1 para 100_20 min.bmp,overflow,0.6094209272311201,0.9316631080967293,0.2864132590281166,0.5774603174603175,0.12742063492063493,0.10011904761904762,0.07726190476190477,0.11773809523809524,13,14,5,positive,20,NA,1:100
